"Time (UTCG)","Power (W)","Solar Intensity"
1 Jan 2022 17:00:00.000,0.000,0.000000
1 Jan 2022 17:01:12.000,0.000,0.000000
1 Jan 2022 17:02:24.000,0.000,0.000000
1 Jan 2022 17:03:36.000,0.000,0.000000
1 Jan 2022 17:04:48.000,0.000,0.000000
1 Jan 2022 17:06:00.000,0.000,0.000000
1 Jan 2022 17:07:12.000,0.000,0.000000
1 Jan 2022 17:08:24.000,0.000,1.000000
1 Jan 2022 17:09:36.000,0.000,1.000000
1 Jan 2022 17:10:48.000,0.000,1.000000
1 Jan 2022 17:12:00.000,0.000,1.000000
1 Jan 2022 17:13:12.000,0.000,1.000000
1 Jan 2022 17:14:24.000,0.000,1.000000
1 Jan 2022 17:15:36.000,0.000,1.000000
1 Jan 2022 17:16:48.000,0.000,1.000000
1 Jan 2022 17:18:00.000,0.000,1.000000
1 Jan 2022 17:19:12.000,0.000,1.000000
1 Jan 2022 17:20:24.000,0.000,1.000000
1 Jan 2022 17:21:36.000,0.000,1.000000
1 Jan 2022 17:22:48.000,0.000,1.000000
1 Jan 2022 17:24:00.000,0.000,1.000000
1 Jan 2022 17:25:12.000,0.000,1.000000
1 Jan 2022 17:26:24.000,0.000,1.000000
1 Jan 2022 17:27:36.000,0.000,1.000000
1 Jan 2022 17:28:48.000,0.000,1.000000
1 Jan 2022 17:30:00.000,0.000,1.000000
1 Jan 2022 17:31:12.000,0.000,1.000000
1 Jan 2022 17:32:24.000,0.000,1.000000
1 Jan 2022 17:33:36.000,0.000,1.000000
1 Jan 2022 17:34:48.000,0.000,1.000000
1 Jan 2022 17:36:00.000,0.000,1.000000
1 Jan 2022 17:37:12.000,0.007,1.000000
1 Jan 2022 17:38:24.000,0.018,1.000000
1 Jan 2022 17:39:36.000,0.037,1.000000
1 Jan 2022 17:40:48.000,0.078,1.000000
1 Jan 2022 17:42:00.000,0.360,1.000000
1 Jan 2022 17:43:12.000,1.003,1.000000
1 Jan 2022 17:44:24.000,1.255,1.000000
1 Jan 2022 17:45:36.000,1.415,1.000000
1 Jan 2022 17:46:48.000,1.566,1.000000
1 Jan 2022 17:48:00.000,1.705,1.000000
1 Jan 2022 17:49:12.000,1.835,1.000000
1 Jan 2022 17:50:24.000,1.950,1.000000
1 Jan 2022 17:51:36.000,2.054,1.000000
1 Jan 2022 17:52:48.000,2.144,1.000000
1 Jan 2022 17:54:00.000,2.219,1.000000
1 Jan 2022 17:55:12.000,2.281,1.000000
1 Jan 2022 17:56:24.000,2.327,1.000000
1 Jan 2022 17:57:36.000,2.357,1.000000
1 Jan 2022 17:58:48.000,2.371,1.000000
1 Jan 2022 18:00:00.000,2.370,1.000000
1 Jan 2022 18:01:12.000,2.351,1.000000
1 Jan 2022 18:02:24.000,2.321,1.000000
1 Jan 2022 18:03:36.000,2.273,1.000000
1 Jan 2022 18:04:48.000,0.000,0.000000
1 Jan 2022 18:06:00.000,0.000,0.000000
1 Jan 2022 18:07:12.000,0.000,0.000000
1 Jan 2022 18:08:24.000,0.000,0.000000
1 Jan 2022 18:09:36.000,0.000,0.000000
1 Jan 2022 18:10:48.000,0.000,0.000000
1 Jan 2022 18:12:00.000,0.000,0.000000
1 Jan 2022 18:13:12.000,0.000,0.000000
1 Jan 2022 18:14:24.000,0.000,0.000000
1 Jan 2022 18:15:36.000,0.000,0.000000
1 Jan 2022 18:16:48.000,0.000,0.000000
1 Jan 2022 18:18:00.000,0.000,0.000000
1 Jan 2022 18:19:12.000,0.000,0.000000
1 Jan 2022 18:20:24.000,0.000,0.000000
1 Jan 2022 18:21:36.000,0.000,0.000000
1 Jan 2022 18:22:48.000,0.000,0.000000
1 Jan 2022 18:24:00.000,0.000,0.000000
1 Jan 2022 18:25:12.000,0.000,0.000000
1 Jan 2022 18:26:24.000,0.000,0.000000
1 Jan 2022 18:27:36.000,0.000,0.000000
1 Jan 2022 18:28:48.000,0.000,0.000000
