"Time (UTCG)","Total_Consumption_Merged Rate (sec^-1)"
1 Jan 2022 20:00:00.000,-2.000000
1 Jan 2022 20:01:12.000,-2.000000
1 Jan 2022 20:02:24.000,-2.000000
1 Jan 2022 20:03:36.000,-2.000000
1 Jan 2022 20:04:48.000,-2.000000
1 Jan 2022 20:06:00.000,-2.000000
1 Jan 2022 20:07:12.000,-2.000000
1 Jan 2022 20:08:24.000,-2.000000
1 Jan 2022 20:09:36.000,-2.000000
1 Jan 2022 20:10:48.000,-2.000000
1 Jan 2022 20:12:00.000,-2.000000
1 Jan 2022 20:13:12.000,-2.000000
1 Jan 2022 20:14:24.000,-2.000000
1 Jan 2022 20:15:36.000,-2.000000
1 Jan 2022 20:16:48.000,-2.000000
1 Jan 2022 20:18:00.000,-2.000000
1 Jan 2022 20:19:12.000,-2.000000
1 Jan 2022 20:20:24.000,-2.000000
1 Jan 2022 20:21:36.000,-2.000000
1 Jan 2022 20:22:48.000,-2.000000
1 Jan 2022 20:24:00.000,-2.000000
1 Jan 2022 20:25:12.000,-2.000000
1 Jan 2022 20:26:24.000,-2.000000
1 Jan 2022 20:27:36.000,-2.000000
1 Jan 2022 20:28:48.000,-2.000000
1 Jan 2022 20:30:00.000,-2.000000
1 Jan 2022 20:31:12.000,-2.000000
1 Jan 2022 20:32:24.000,-2.000000
1 Jan 2022 20:33:36.000,-2.000000
1 Jan 2022 20:34:48.000,-2.000000
1 Jan 2022 20:36:00.000,-2.000000
1 Jan 2022 20:37:12.000,-2.000000
1 Jan 2022 20:38:24.000,-2.000000
1 Jan 2022 20:39:36.000,-2.000000
1 Jan 2022 20:40:48.000,-2.000000
1 Jan 2022 20:42:00.000,-2.000000
1 Jan 2022 20:43:12.000,-2.000000
1 Jan 2022 20:44:24.000,-2.000000
1 Jan 2022 20:45:36.000,-2.000000
1 Jan 2022 20:46:48.000,-2.000000
1 Jan 2022 20:48:00.000,-2.000000
1 Jan 2022 20:49:12.000,-2.000000
1 Jan 2022 20:50:24.000,-2.000000
1 Jan 2022 20:51:36.000,-2.000000
1 Jan 2022 20:52:48.000,-2.000000
1 Jan 2022 20:54:00.000,-2.000000
1 Jan 2022 20:55:12.000,-2.000000
1 Jan 2022 20:56:24.000,-2.000000
1 Jan 2022 20:57:36.000,-2.000000
1 Jan 2022 20:58:48.000,-2.000000
1 Jan 2022 21:00:00.000,-2.000000
1 Jan 2022 21:01:12.000,-2.000000
1 Jan 2022 21:02:24.000,-2.000000
1 Jan 2022 21:03:36.000,-2.000000
1 Jan 2022 21:04:48.000,-2.000000
1 Jan 2022 21:06:00.000,-2.000000
1 Jan 2022 21:07:12.000,-2.000000
1 Jan 2022 21:08:24.000,-2.000000
1 Jan 2022 21:09:36.000,-2.000000
1 Jan 2022 21:10:48.000,-2.000000
1 Jan 2022 21:12:00.000,-2.000000
1 Jan 2022 21:13:12.000,-2.000000
1 Jan 2022 21:14:24.000,-2.000000
1 Jan 2022 21:15:36.000,-2.000000
1 Jan 2022 21:16:48.000,-2.000000
1 Jan 2022 21:18:00.000,-2.000000
1 Jan 2022 21:19:12.000,-2.000000
1 Jan 2022 21:20:24.000,-2.000000
1 Jan 2022 21:21:36.000,-2.000000
1 Jan 2022 21:22:48.000,-2.000000
1 Jan 2022 21:24:00.000,-2.000000
1 Jan 2022 21:25:12.000,-2.000000
1 Jan 2022 21:26:24.000,-2.000000
1 Jan 2022 21:27:36.000,-2.000000
1 Jan 2022 21:28:48.000,-2.000000
1 Jan 2022 21:30:00.000,-2.000000
1 Jan 2022 21:31:12.000,-2.000000
1 Jan 2022 21:32:24.000,-2.000000
1 Jan 2022 21:33:36.000,-2.000000
1 Jan 2022 21:34:48.000,-2.000000
1 Jan 2022 21:36:00.000,-2.000000
1 Jan 2022 21:37:12.000,-2.000000
1 Jan 2022 21:38:24.000,-2.000000
1 Jan 2022 21:39:36.000,-2.000000
1 Jan 2022 21:40:48.000,-2.000000
1 Jan 2022 21:42:00.000,-2.000000
1 Jan 2022 21:43:12.000,-2.000000
1 Jan 2022 21:44:24.000,-2.000000
1 Jan 2022 21:45:36.000,-2.000000
1 Jan 2022 21:46:48.000,-2.000000
1 Jan 2022 21:48:00.000,-2.000000
1 Jan 2022 21:49:12.000,-2.000000
1 Jan 2022 21:50:24.000,-2.000000
1 Jan 2022 21:51:36.000,-2.000000
